,cust_id,income,Tier_income,age,Age_Group,years_with_bank,nbr_children,gender,marital_status,first_name,last_name,state_code,Region
82,1363196,35502,Low Middle,42,40-49,2,0,F ,1,Kitty                                                       ,Aroori                                                      ,CA  ,West
83,1362666,0,,15,10-19,7,0,F ,1,Harriet                                                     ,Boyd                                                        ,CA  ,West
84,1363461,23108,Low Middle,69,60-69,9,0,F ,2,Caroline                                                    ,Ross                                                        ,MN  ,Midwest
85,1363135,18350,Low Middle,38,30-39,5,2,F ,2,Rosalynn                                                    ,Hedegard                                                    ,CA  ,West
86,1362584,12885,Lowest,61,60-69,1,0,F ,2,Molly                                                       ,Cole                                                        ,IL  ,Midwest
87,1362931,39704,Low Middle,53,50-59,3,1,F ,2,Paulina                                                     ,Shen                                                        ,CA  ,West
88,1363053,55061,High Middle,30,30-39,0,0,M ,1,Tam                                                         ,O'Brien                                                     ,MD  ,South
89,1363400,49258,High Middle,49,40-49,9,0,F ,2,Priscilla                                                   ,Lackpour                                                    ,NY  ,Northeast
90,1363318,7751,Lowest,41,40-49,1,2,F ,4,Beatrice                                                    ,Powers                                                      ,TX  ,South
91,1362523,0,,13,10-19,5,0,F ,1,Julie                                                       ,Morton                                                      ,CA  ,West
92,1362706,0,,15,10-19,7,0,F ,1,Lisa                                                        ,Dole                                                        ,MO  ,Midwest
93,1362992,24534,Low Middle,40,40-49,0,0,F ,1,Pauline                                                     ,Lennan                                                      ,AZ  ,West
94,1363175,0,,16,10-19,1,0,F ,1,Chris                                                       ,McLaughlin                                                  ,CA  ,West
95,1363257,31910,Low Middle,44,40-49,4,0,M ,1,Terry                                                       ,Panfilov                                                    ,NY  ,Northeast
96,1362767,0,,17,10-19,2,0,F ,1,Nellie                                                      ,Elliot                                                      ,IL  ,Midwest
97,1362849,22001,Low Middle,44,40-49,4,0,F ,1,Lorraine                                                    ,Knowles                                                     ,TN  ,South
98,1362563,14711,Lowest,73,70-79,3,0,M ,2,Yunqing                                                     ,McHugh                                                      ,IL  ,Midwest
99,1362645,57194,High Middle,31,30-39,1,3,M ,4,Erin                                                        ,Kjolsing                                                    ,CA  ,West
100,1362624,28867,Low Middle,77,70-79,7,0,F ,2,Sally                                                       ,Newton                                                      ,TX  ,South
101,1362502,15530,Low Middle,57,50-59,7,2,M ,2,Gilbert                                                     ,Carrington                                                  ,CA  ,West
102,1362481,20855,Low Middle,36,30-39,6,2,F ,2,Darby                                                       ,Beed                                                        ,NY  ,Northeast
103,1362971,31040,Low Middle,60,60-69,0,0,F ,2,Harriet                                                     ,Putnam                                                      ,WA  ,West
104,1362746,8810,Lowest,35,30-39,5,2,F ,2,Arlene                                                      ,Sinclair                                                    ,LA  ,South
105,1363236,23206,Low Middle,64,60-69,4,0,M ,3,Teri                                                        ,Steele                                                      ,CA  ,West
106,1363215,57723,High Middle,57,50-59,7,1,M ,4,Marty                                                       ,Lau                                                         ,NY  ,Northeast
107,1362828,3994,Lowest,87,80-89,7,0,M ,2,Larry                                                       ,Jiang                                                       ,NY  ,Northeast
108,1363011,90248,Highest,55,50-59,5,0,M ,4,Joe                                                         ,Wall                                                        ,NY  ,Northeast
109,1363297,9351,Lowest,46,40-49,6,0,F ,1,Debbie                                                      ,McCreary                                                    ,AZ  ,West
110,1363480,8038,Lowest,22,20-29,1,0,F ,1,Connie                                                      ,Harrington                                                  ,MD  ,South
111,1363093,1039,Lowest,79,70-79,9,0,M ,2,Yasmine                                                     ,Larson                                                      ,MN  ,Midwest
112,1363072,7495,Lowest,88,80-89,8,0,M ,2,Yoshito                                                     ,Henderson                                                   ,TX  ,South
113,1362685,34080,Low Middle,49,40-49,2,0,F ,1,Rhonda                                                      ,Grimmer                                                     ,TX  ,South
114,1362868,14877,Lowest,33,30-39,3,3,F ,2,Carmen                                                      ,Keller                                                      ,IL  ,Midwest
115,1363154,2925,Lowest,29,20-29,8,2,F ,4,Kathy                                                       ,Johnson                                                     ,CA  ,West
116,1363337,84335,Highest,43,40-49,3,4,F ,4,Michelle                                                    ,Starkel                                                     ,CA  ,West
117,1362950,11935,Lowest,60,60-69,0,0,F ,2,Happy                                                       ,Warner                                                      ,KY  ,South
118,1362929,83295,Highest,58,50-59,8,1,M ,4,Les                                                         ,Carter                                                      ,TX  ,South
119,1362542,43900,High Middle,36,30-39,6,2,F ,2,Mayreen                                                     ,Hudson                                                      ,NY  ,Northeast
120,1362725,68933,High Middle,52,50-59,2,1,M ,3,Syukuro                                                     ,Center                                                      ,MO  ,Midwest
121,1363276,16422,Low Middle,32,30-39,2,3,M ,2,Charles                                                     ,Mealhouse                                                   ,MO  ,Midwest
122,1363194,24275,Low Middle,55,50-59,5,1,F ,3,Sheila                                                      ,Hummel                                                      ,MO  ,Midwest
123,1362664,30676,Low Middle,46,40-49,4,5,M ,4,Corey                                                       ,Boyd                                                        ,CA  ,West
124,1363051,0,,14,10-19,6,0,M ,1,Johnson                                                     ,Wollmann                                                    ,OK  ,South
125,1363133,12823,Lowest,66,60-69,6,0,F ,1,Lila                                                        ,Coleman                                                     ,OK  ,South
126,1362643,6356,Lowest,18,10-19,3,0,F ,1,Julie                                                       ,Hood                                                        ,NY  ,Northeast
127,1363398,13811,Lowest,50,50-59,0,0,F ,3,Elsie                                                       ,Larichev                                                    ,NB  ,Midwest
128,1363377,5488,Lowest,33,30-39,3,3,F ,2,Darby                                                       ,Milby                                                       ,CA  ,West
129,1362990,0,,16,10-19,1,0,F ,1,May                                                         ,Swanson                                                     ,TX  ,South
130,1363173,27649,Low Middle,58,50-59,8,1,M ,2,Moji                                                        ,McLaughlin                                                  ,CA  ,West
131,1363459,11944,Lowest,40,40-49,0,1,M ,2,Justin                                                      ,King                                                        ,OR  ,West
132,1362765,2769,Lowest,18,10-19,3,0,F ,1,Jenny                                                       ,Holloway                                                    ,CA  ,West
133,1363255,17559,Low Middle,51,50-59,1,0,F ,2,Vivian                                                      ,Romen                                                       ,CA  ,West
134,1363234,12202,Lowest,79,70-79,9,0,M ,2,Charles                                                     ,Bender                                                      ,TN  ,South
135,1363316,18144,Low Middle,28,20-29,5,0,F ,1,Farrah                                                      ,Smith                                                       ,KY  ,South
136,1362622,34797,Low Middle,69,60-69,9,0,M ,1,Rich                                                        ,Matser                                                      ,CA  ,West
137,1363112,13295,Lowest,38,30-39,8,3,F ,2,Maria                                                       ,Shelton                                                     ,CA  ,West
138,1363091,0,,15,10-19,0,0,M ,1,Nick                                                        ,Johnston                                                    ,TX  ,South
139,1362500,56708,High Middle,40,40-49,0,0,M ,1,Dan                                                         ,Young                                                       ,TX  ,South
140,1362887,79057,High Middle,57,50-59,6,0,M ,3,Dan                                                         ,Ruegsegger                                                  ,TN  ,South
141,1362969,75121,High Middle,58,50-59,8,0,F ,4,Brenda                                                      ,Shropshire                                                  ,IL  ,Midwest
142,1363356,12258,Lowest,39,30-39,9,3,F ,2,Patty                                                       ,Meyer                                                       ,CA  ,West
143,1363438,2644,Lowest,23,20-29,2,1,M ,2,Joshua                                                      ,Frost                                                       ,TX  ,South
144,1362948,28864,Low Middle,59,50-59,9,1,M ,4,George                                                      ,Burger                                                      ,CA  ,West
145,1362826,0,,15,10-19,0,0,F ,1,Marjorie                                                    ,Hills                                                       ,CA  ,West
146,1362744,3618,Lowest,89,80-89,9,0,F ,2,Elizabeth                                                   ,Dixit                                                       ,WI  ,Midwest
147,1363295,4391,Lowest,66,60-69,6,0,F ,4,Janice                                                      ,Johnson                                                     ,AZ  ,West
148,1363213,38010,Low Middle,60,60-69,0,0,M ,2,Jaime                                                       ,Keith                                                       ,OH  ,Midwest
149,1362683,44288,High Middle,34,30-39,4,1,F ,2,Julio                                                       ,Masina                                                      ,CA  ,West
150,1363070,5808,Lowest,19,10-19,1,0,F ,1,Farrah                                                      ,Pauly                                                       ,IL  ,Midwest
151,1362540,49731,High Middle,62,60-69,2,0,F ,2,Maryjane                                                    ,Raco                                                        ,IL  ,Midwest
152,1363335,2807,Lowest,54,50-59,2,0,F ,2,Lynn                                                        ,Pike                                                        ,MN  ,Midwest
153,1363009,95585,Highest,53,50-59,3,1,M ,2,Corey                                                       ,Winton                                                      ,CO  ,West
154,1362927,15795,Low Middle,63,60-69,3,0,M ,2,Kevin                                                       ,Pieper                                                      ,OH  ,Midwest
155,1362805,4626,Lowest,78,70-79,8,0,F ,3,Dana                                                        ,Williamson                                                  ,NY  ,Northeast
156,1363192,10151,Lowest,34,30-39,4,0,M ,4,Thomas                                                      ,Morton                                                      ,CA  ,West
157,1362662,4604,Lowest,65,60-69,5,0,F ,2,Cecily                                                      ,Muller                                                      ,NY  ,Northeast
158,1362784,55678,High Middle,43,40-49,3,5,M ,2,Bill                                                        ,Bailey                                                      ,MO  ,Midwest
159,1362723,40898,High Middle,39,30-39,8,1,M ,2,Albert                                                      ,Marxen                                                      ,NY  ,Northeast
160,1363253,39291,Low Middle,58,50-59,8,1,F ,4,Maria                                                       ,Green                                                       ,IL  ,Midwest
161,1363457,86744,Highest,57,50-59,7,0,M ,2,Adisak                                                      ,Hanson                                                      ,VA  ,South
162,1362641,3419,Lowest,28,20-29,7,0,F ,1,Polly                                                       ,Huff                                                        ,OH  ,Midwest
163,1362580,29363,Low Middle,36,30-39,6,3,F ,4,Mona                                                        ,Porter                                                      ,CA  ,West
164,1362906,36675,Low Middle,36,30-39,6,2,M ,2,Andy                                                        ,McLendon                                                    ,CA  ,West
165,1362845,73785,High Middle,43,40-49,2,3,M ,4,Almon                                                       ,Teeuwen                                                     ,CA  ,West
166,1363375,11004,Lowest,72,70-79,2,0,F ,2,Esther                                                      ,Savage                                                      ,WI  ,Midwest
167,1363314,11375,Lowest,26,20-29,5,1,M ,2,Keith                                                       ,Barnhart                                                    ,TX  ,South
168,1362498,9849,Lowest,60,60-69,0,0,F ,2,Rhonda                                                      ,Warner                                                      ,NY  ,Northeast
169,1362702,19789,Low Middle,39,30-39,9,0,M ,1,Hal                                                         ,Adamson                                                     ,KY  ,South
170,1362763,21198,Low Middle,50,50-59,0,1,F ,2,Patricia                                                    ,Holloway                                                    ,CA  ,West
171,1363171,36873,Low Middle,59,50-59,9,0,F ,2,Francine                                                    ,Meyer                                                       ,WI  ,Midwest
172,1363232,9614,Lowest,65,60-69,5,0,F ,2,Sara                                                        ,Lennan                                                      ,NY  ,Northeast
173,1362967,5022,Lowest,84,80-89,4,0,M ,2,Sandeep                                                     ,Marshall                                                    ,TX  ,South
174,1362620,29995,Low Middle,31,30-39,1,0,M ,2,Chuck                                                       ,Drake                                                       ,TX  ,South
175,1363436,6105,Lowest,26,20-29,5,1,F ,2,Lucy                                                        ,Reddy                                                       ,TN  ,South
176,1363089,30500,Low Middle,57,50-59,7,2,F ,2,Ann                                                         ,Johnston                                                    ,TX  ,South
177,1362824,69432,High Middle,58,50-59,8,2,F ,2,Sharon                                                      ,Hills                                                       ,CA  ,West
178,1363354,12621,Lowest,66,60-69,6,0,F ,4,Colin                                                       ,Fitzgerald                                                  ,NY  ,Northeast
179,1362681,30224,Low Middle,73,70-79,3,0,M ,2,Tomoaki                                                     ,Michelson                                                   ,CA  ,West
180,1362742,18785,Low Middle,28,20-29,7,0,M ,1,Rob                                                         ,Brandon                                                     ,MN  ,Midwest
181,1363150,0,,14,10-19,6,0,F ,1,Molly                                                       ,Satyanarayan                                                ,CA  ,West
182,1363211,44472,High Middle,47,40-49,6,0,F ,1,Darby                                                       ,Floyd                                                       ,CA  ,West
183,1363415,0,,16,10-19,1,0,F ,1,Rachel                                                      ,Quinn                                                       ,OH  ,Midwest
184,1363068,57612,High Middle,58,50-59,8,2,M ,2,Jester                                                      ,Pauly                                                       ,IL  ,Midwest
185,1363007,22437,Low Middle,64,60-69,4,0,M ,2,Forrest                                                     ,Flynn                                                       ,TX  ,South
186,1362925,15077,Low Middle,74,70-79,4,0,F ,2,Rita                                                        ,Osterberg                                                   ,MD  ,South
187,1363476,9916,Lowest,33,30-39,3,2,F ,2,Pat                                                         ,Merritt                                                     ,OH  ,Midwest
188,1363394,12722,Lowest,49,40-49,9,0,F ,1,Debby                                                       ,Richards                                                    ,CA  ,West
189,1363272,22758,Low Middle,30,30-39,0,2,F ,2,Marthe                                                      ,Scott                                                       ,CA  ,West
190,1362782,29579,Low Middle,43,40-49,3,0,M ,1,Glenn                                                       ,Orzepowski                                                  ,CA  ,West
191,1362864,17612,Low Middle,30,30-39,0,3,F ,4,June                                                        ,Mealhouse                                                   ,NY  ,Northeast
192,1363251,18597,Low Middle,19,10-19,4,0,M ,1,Earl                                                        ,Hargett                                                     ,CA  ,West
193,1363333,16865,Low Middle,19,10-19,4,0,F ,1,Beatrice                                                    ,O'Neil                                                      ,MN  ,Midwest
194,1363047,14891,Lowest,43,40-49,3,4,M ,2,Hal                                                         ,Wollmann                                                    ,OK  ,South
195,1363129,10430,Lowest,26,20-29,5,0,F ,1,Rosemary                                                    ,O'Neill                                                     ,NY  ,Northeast
196,1362639,0,,14,10-19,6,0,F ,1,Lena                                                        ,Koehler                                                     ,CA  ,West
197,1362721,7777,Lowest,18,10-19,3,0,F ,1,Alice                                                       ,Ryall                                                       ,CA  ,West
198,1363108,27814,Low Middle,24,20-29,3,2,F ,2,Patricia                                                    ,Jacobsen                                                    ,TX  ,South
199,1362986,41650,High Middle,30,30-39,0,3,M ,3,Gordon                                                      ,McConahay                                                   ,MA  ,Northeast
200,1362904,18891,Low Middle,69,60-69,9,0,M ,3,Rodney                                                      ,Carrington                                                  ,IN  ,Midwest
201,1363455,37471,Low Middle,55,50-59,5,1,F ,2,Nancy                                                       ,Fernandez                                                   ,MD  ,South
202,1362496,0,,13,10-19,2,0,M ,1,Douglas                                                     ,McMillen                                                    ,TX  ,South
203,1362578,0,,17,10-19,2,0,F ,1,Lucy                                                        ,Gins                                                        ,PA  ,Northeast
204,1362965,28402,Low Middle,74,70-79,4,0,M ,2,Stewart                                                     ,Bockler                                                     ,WI  ,Midwest
205,1362843,27303,Low Middle,59,50-59,9,1,F ,3,Teresa                                                      ,Pauly                                                       ,MA  ,Northeast
206,1362761,13515,Lowest,23,20-29,2,1,M ,4,Scott                                                       ,Levy                                                        ,WI  ,Midwest
207,1363312,29335,Low Middle,50,50-59,0,0,F ,2,Happy                                                       ,Kemper                                                      ,CA  ,West
208,1363230,5940,Lowest,28,20-29,3,1,F ,2,Oliva                                                       ,Navarre                                                     ,KY  ,South
209,1362700,6195,Lowest,75,70-79,5,0,F ,4,Flora                                                       ,Harrison                                                    ,CA  ,West
210,1362822,13750,Lowest,19,10-19,1,0,M ,1,Louis                                                       ,Eggerman                                                    ,IL  ,Midwest
211,1363169,13113,Lowest,19,10-19,4,0,F ,1,Mary                                                        ,Kaufmann                                                    ,IL  ,Midwest
212,1362618,84120,Highest,57,50-59,7,0,M ,2,William                                                     ,Levy                                                        ,AZ  ,West
213,1363434,41069,High Middle,57,50-59,7,0,M ,1,Roger                                                       ,Dole                                                        ,NY  ,Northeast
214,1363087,3400,Lowest,18,10-19,3,0,F ,1,Carol                                                       ,Garcon                                                      ,OK  ,South
215,1362557,19282,Low Middle,40,40-49,0,4,M ,4,Barry                                                       ,Kaufmann                                                    ,CA  ,West
216,1363352,5772,Lowest,18,10-19,3,0,M ,1,Simona                                                      ,Seller                                                      ,TX  ,South
217,1363026,49435,High Middle,44,40-49,4,4,M ,2,Vinod                                                       ,Hudson                                                      ,FL  ,South
218,1363413,9146,Lowest,80,80-89,0,0,M ,4,Jorge                                                       ,O'Neill                                                     ,FL  ,South
219,1363495,19639,Low Middle,36,30-39,3,3,F ,3,Joy                                                         ,Hicks                                                       ,CA  ,West
220,1363209,32739,Low Middle,59,50-59,9,0,F ,1,Marjorie                                                    ,Freeman                                                     ,MI  ,Midwest
221,1363291,34855,Low Middle,40,40-49,0,2,M ,4,Pat                                                         ,Pauly                                                       ,TX  ,South
222,1362801,12485,Lowest,24,20-29,3,2,M ,4,Sri                                                         ,McMillen                                                    ,GA  ,South
223,1362883,12403,Lowest,31,30-39,1,3,M ,2,Lee                                                         ,Osterberg                                                   ,IL  ,Midwest
224,1363270,0,,16,10-19,1,0,M ,1,Irv                                                         ,Carpenter                                                   ,TX  ,South
225,1363148,32551,Low Middle,47,40-49,7,5,M ,2,Arthur                                                      ,Satyanarayan                                                ,CA  ,West
226,1363066,3240,Lowest,64,60-69,1,0,M ,1,Marc                                                        ,Hines                                                       ,CA  ,West
227,1362740,2715,Lowest,61,60-69,1,0,M ,2,Craig                                                       ,Parsons                                                     ,PA  ,Northeast
228,1362658,45629,High Middle,44,40-49,4,2,F ,3,Brooke                                                      ,Park                                                        ,MI  ,Midwest
229,1363005,6144,Lowest,22,20-29,1,0,F ,2,Mona                                                        ,Williams                                                    ,TX  ,South
230,1363127,0,,16,10-19,1,0,F ,1,Isabel                                                      ,Paul                                                        ,VA  ,South
231,1363474,3339,Lowest,20,20-29,5,0,F ,1,Denise                                                      ,Kemper                                                      ,CA  ,West
232,1362923,0,,15,10-19,7,0,M ,1,Duke                                                        ,Besa                                                        ,KS  ,Midwest
233,1362597,12106,Lowest,19,10-19,4,0,M ,1,Hung                                                        ,Lanzante                                                    ,TX  ,South
234,1363392,0,,17,10-19,2,0,F ,1,Lana                                                        ,Insko                                                       ,NY  ,Northeast
235,1362862,0,,15,10-19,5,0,M ,1,Wayne                                                       ,Pieper                                                      ,CA  ,West
236,1363249,61885,High Middle,52,50-59,2,2,F ,2,Gina                                                        ,Hargett                                                     ,CA  ,West
237,1363331,31054,Low Middle,55,50-59,5,2,M ,2,Eric                                                        ,O'Neil                                                      ,MN  ,Midwest
238,1362637,23973,Low Middle,45,40-49,5,0,F ,1,Daisy                                                       ,McSherry                                                    ,HI  ,West
239,1362719,23843,Low Middle,59,50-59,9,1,F ,2,Jill                                                        ,Schimmelpfennig                                             ,IL  ,Midwest
240,1363371,3551,Lowest,27,20-29,4,2,F ,2,Cheryl                                                      ,Bush                                                        ,CA  ,West
241,1363453,12728,Lowest,35,30-39,2,0,M ,1,John                                                        ,Putnam                                                      ,FL  ,South
242,1362963,4508,Lowest,69,60-69,4,0,F ,1,Teri                                                        ,Chan                                                        ,NC  ,South
243,1362902,18760,Low Middle,48,40-49,5,0,F ,1,Nina                                                        ,Denham                                                      ,NY  ,Northeast
244,1363228,36237,Low Middle,41,40-49,1,0,M ,1,Doug                                                        ,Huub                                                        ,MA  ,Northeast
