,cust_id,income,Tier_income,age,Age_Group,nbr_children,gender,marital_status,first_name,last_name,state_code,Region,acct_type,account_active,starting_balance,ending_balance,money_spent
288,1363356,12258,Lowest,39,30-39,3,F ,2,Patty                                                       ,Meyer                                                       ,CA  ,West,SV  ,Y,285.45,148.06,137.39
290,1363438,2644,Lowest,23,19-29,1,M ,2,Joshua                                                      ,Frost                                                       ,TX  ,South,CC  ,Y,1018.92,684.3,334.62
291,1363438,2644,Lowest,23,19-29,1,M ,2,Joshua                                                      ,Frost                                                       ,TX  ,South,SV  ,Y,154.44,95.3,59.14
292,1362948,28864,Lower Middle,59,50-59,1,M ,4,George                                                      ,Burger                                                      ,CA  ,West,CK  ,Y,3708.36,554.35,3154.01
293,1362948,28864,Lower Middle,59,50-59,1,M ,4,George                                                      ,Burger                                                      ,CA  ,West,CC  ,Y,1393.56,813.51,580.05
297,1362744,3618,Lowest,89,80-89,0,F ,2,Elizabeth                                                   ,Dixit                                                       ,WI  ,Midwest,CK  ,Y,219.21,205.93,13.280000000000001
307,1362540,49731,Lower Middle,62,60-69,0,F ,2,Maryjane                                                    ,Raco                                                        ,IL  ,Midwest,CK  ,Y,10618.86,1515.35,9103.51
308,1363335,2807,Lowest,54,50-59,0,F ,2,Lynn                                                        ,Pike                                                        ,MN  ,Midwest,CK  ,Y,167.53,65.64,101.89
310,1363009,95585,Upper Middle,53,50-59,1,M ,2,Corey                                                       ,Winton                                                      ,CO  ,West,CK  ,Y,12692.83,9253.73,3439.1000000000004
312,1362805,4626,Lowest,78,70-79,0,F ,3,Dana                                                        ,Williamson                                                  ,NY  ,Northeast,CK  ,Y,259.18,14.76,244.42000000000002
315,1363192,10151,Lowest,34,30-39,0,M ,4,Thomas                                                      ,Morton                                                      ,CA  ,West,CK  ,Y,1316.25,42.85,1273.4
317,1362662,4604,Lowest,65,60-69,0,F ,2,Cecily                                                      ,Muller                                                      ,NY  ,Northeast,CK  ,Y,2651.09,139.01,2512.08
318,1362784,55678,Middle,43,40-49,5,M ,2,Bill                                                        ,Bailey                                                      ,MO  ,Midwest,CK  ,Y,7450.72,1095.71,6355.01
321,1363253,39291,Lower Middle,58,50-59,1,F ,4,Maria                                                       ,Green                                                       ,IL  ,Midwest,CK  ,Y,5019.19,1191.33,3827.8599999999997
324,1363457,86744,Upper Middle,57,50-59,0,M ,2,Adisak                                                      ,Hanson                                                      ,VA  ,South,CK  ,Y,12169.88,1252.71,10917.169999999998
328,1362641,3419,Lowest,28,19-29,0,F ,1,Polly                                                       ,Huff                                                        ,OH  ,Midwest,CK  ,Y,2705.53,1566.97,1138.5600000000002
329,1362641,3419,Lowest,28,19-29,0,F ,1,Polly                                                       ,Huff                                                        ,OH  ,Midwest,CC  ,Y,502.37,172.99,329.38
330,1362580,29363,Lower Middle,36,30-39,3,F ,4,Mona                                                        ,Porter                                                      ,CA  ,West,CK  ,Y,376.21,29.97,346.24
332,1362580,29363,Lower Middle,36,30-39,3,F ,4,Mona                                                        ,Porter                                                      ,CA  ,West,SV  ,Y,468.82,163.39,305.43
335,1363375,11004,Lowest,72,70-79,0,F ,2,Esther                                                      ,Savage                                                      ,WI  ,Midwest,CK  ,Y,281.8,172.83,108.97
336,1363314,11375,Lowest,26,19-29,1,M ,2,Keith                                                       ,Barnhart                                                    ,TX  ,South,CK  ,Y,2076.11,266.68,1809.43
337,1363314,11375,Lowest,26,19-29,1,M ,2,Keith                                                       ,Barnhart                                                    ,TX  ,South,CC  ,Y,2393.16,366.31,2026.85
338,1362498,9849,Lowest,60,60-69,0,F ,2,Rhonda                                                      ,Warner                                                      ,NY  ,Northeast,CK  ,Y,233.77,172.66,61.110000000000014
341,1362702,19789,Lowest,39,30-39,0,M ,1,Hal                                                         ,Adamson                                                     ,KY  ,South,SV  ,Y,698.68,12.53,686.15
342,1362763,21198,Lowest,50,50-59,1,F ,2,Patricia                                                    ,Holloway                                                    ,CA  ,West,CK  ,Y,300.2,2.72,297.47999999999996
344,1363171,36873,Lower Middle,59,50-59,0,F ,2,Francine                                                    ,Meyer                                                       ,WI  ,Midwest,CK  ,Y,5022.25,17.68,5004.57
348,1362620,29995,Lower Middle,31,30-39,0,M ,2,Chuck                                                       ,Drake                                                       ,TX  ,South,CK  ,Y,4233.57,243.04,3990.5299999999997
349,1363436,6105,Lowest,26,19-29,1,F ,2,Lucy                                                        ,Reddy                                                       ,TN  ,South,CK  ,Y,387.11,218.93,168.18
351,1362824,69432,Middle,58,50-59,2,F ,2,Sharon                                                      ,Hills                                                       ,CA  ,West,CK  ,Y,863.73,3.94,859.79
352,1362824,69432,Middle,58,50-59,2,F ,2,Sharon                                                      ,Hills                                                       ,CA  ,West,CC  ,Y,10593.21,959.72,9633.49
353,1363354,12621,Lowest,66,60-69,0,F ,4,Colin                                                       ,Fitzgerald                                                  ,NY  ,Northeast,CK  ,Y,1045.26,48.9,996.36
357,1362742,18785,Lowest,28,19-29,0,M ,1,Rob                                                         ,Brandon                                                     ,MN  ,Midwest,CC  ,Y,2540.56,15.74,2524.82
359,1362742,18785,Lowest,28,19-29,0,M ,1,Rob                                                         ,Brandon                                                     ,MN  ,Midwest,CK  ,Y,2647.42,2562.66,84.76000000000022
371,1363272,22758,Lowest,30,30-39,2,F ,2,Marthe                                                      ,Scott                                                       ,CA  ,West,CK  ,Y,371.89,195.31,176.57999999999998
379,1363251,18597,Lowest,19,19-29,0,M ,1,Earl                                                        ,Hargett                                                     ,CA  ,West,CK  ,Y,2511.83,456.92,2054.91
382,1363333,16865,Lowest,19,19-29,0,F ,1,Beatrice                                                    ,O'Neil                                                      ,MN  ,Midwest,CK  ,Y,220.95,4.31,216.64
384,1363129,10430,Lowest,26,19-29,0,F ,1,Rosemary                                                    ,O'Neill                                                     ,NY  ,Northeast,CK  ,Y,2654.13,88.34,2565.79
387,1362721,7777,Lowest,18,10-18,0,F ,1,Alice                                                       ,Ryall                                                       ,CA  ,West,SV  ,Y,167.33,48.22,119.11000000000001
389,1363108,27814,Lower Middle,24,19-29,2,F ,2,Patricia                                                    ,Jacobsen                                                    ,TX  ,South,CK  ,Y,272.54,268.79,3.75
390,1363108,27814,Lower Middle,24,19-29,2,F ,2,Patricia                                                    ,Jacobsen                                                    ,TX  ,South,CC  ,Y,1149.32,458.67,690.6499999999999
392,1362986,41650,Lower Middle,30,30-39,3,M ,3,Gordon                                                      ,McConahay                                                   ,MA  ,Northeast,CK  ,Y,5870.86,4690.94,1179.92
394,1362986,41650,Lower Middle,30,30-39,3,M ,3,Gordon                                                      ,McConahay                                                   ,MA  ,Northeast,SV  ,Y,1161.47,434.43,727.04
397,1362904,18891,Lowest,69,60-69,0,M ,3,Rodney                                                      ,Carrington                                                  ,IN  ,Midwest,CC  ,Y,1445.69,679.69,766.0
406,1362843,27303,Lower Middle,59,50-59,1,F ,3,Teresa                                                      ,Pauly                                                       ,MA  ,Northeast,SV  ,Y,282.11,224.72,57.390000000000015
407,1362761,13515,Lowest,23,19-29,1,M ,4,Scott                                                       ,Levy                                                        ,WI  ,Midwest,CK  ,Y,2548.88,8.21,2540.67
408,1362761,13515,Lowest,23,19-29,1,M ,4,Scott                                                       ,Levy                                                        ,WI  ,Midwest,CC  ,Y,780.93,0.0,780.93
409,1362761,13515,Lowest,23,19-29,1,M ,4,Scott                                                       ,Levy                                                        ,WI  ,Midwest,SV  ,Y,775.55,490.67,284.87999999999994
411,1363230,5940,Lowest,28,19-29,1,F ,2,Oliva                                                       ,Navarre                                                     ,KY  ,South,CK  ,Y,2620.42,551.28,2069.1400000000003
413,1362700,6195,Lowest,75,70-79,0,F ,4,Flora                                                       ,Harrison                                                    ,CA  ,West,CC  ,Y,369.78,107.4,262.38
415,1362822,13750,Lowest,19,19-29,0,M ,1,Louis                                                       ,Eggerman                                                    ,IL  ,Midwest,CK  ,Y,4115.99,2156.3,1959.6899999999996
419,1363169,13113,Lowest,19,19-29,0,F ,1,Mary                                                        ,Kaufmann                                                    ,IL  ,Midwest,CC  ,Y,1729.57,0.0,1729.57
423,1363434,41069,Lower Middle,57,50-59,0,M ,1,Roger                                                       ,Dole                                                        ,NY  ,Northeast,CK  ,Y,5344.31,22.53,5321.780000000001
424,1363087,3400,Lowest,18,10-18,0,F ,1,Carol                                                       ,Garcon                                                      ,OK  ,South,CK  ,Y,320.68,30.86,289.82
426,1362557,19282,Lowest,40,40-49,4,M ,4,Barry                                                       ,Kaufmann                                                    ,CA  ,West,CK  ,Y,2145.27,147.06,1998.21
428,1362557,19282,Lowest,40,40-49,4,M ,4,Barry                                                       ,Kaufmann                                                    ,CA  ,West,SV  ,Y,697.92,68.86,629.06
429,1363352,5772,Lowest,18,10-18,0,M ,1,Simona                                                      ,Seller                                                      ,TX  ,South,CK  ,Y,1290.57,851.45,439.1199999999999
434,1363413,9146,Lowest,80,80-89,0,M ,4,Jorge                                                       ,O'Neill                                                     ,FL  ,South,CK  ,Y,141.77,131.81,9.960000000000008
435,1363495,19639,Lowest,36,30-39,3,F ,3,Joy                                                         ,Hicks                                                       ,CA  ,West,CK  ,Y,2605.49,178.5,2426.99
440,1363291,34855,Lower Middle,40,40-49,2,M ,4,Pat                                                         ,Pauly                                                       ,TX  ,South,CK  ,Y,4361.14,521.21,3839.9300000000003
443,1362801,12485,Lowest,24,19-29,2,M ,4,Sri                                                         ,McMillen                                                    ,GA  ,South,CK  ,Y,398.0,0.0,398.0
444,1362801,12485,Lowest,24,19-29,2,M ,4,Sri                                                         ,McMillen                                                    ,GA  ,South,CC  ,Y,393.8,45.23,348.57
446,1362883,12403,Lowest,31,30-39,3,M ,2,Lee                                                         ,Osterberg                                                   ,IL  ,Midwest,SV  ,Y,702.27,149.74,552.53
451,1362740,2715,Lowest,61,60-69,0,M ,2,Craig                                                       ,Parsons                                                     ,PA  ,Northeast,CK  ,Y,1237.41,562.27,675.1400000000001
452,1362740,2715,Lowest,61,60-69,0,M ,2,Craig                                                       ,Parsons                                                     ,PA  ,Northeast,CC  ,Y,1563.83,1121.88,441.9499999999998
454,1362658,45629,Lower Middle,44,40-49,2,F ,3,Brooke                                                      ,Park                                                        ,MI  ,Midwest,CK  ,Y,6151.91,3517.12,2634.79
